sample_name	in_house_id	probes	date_added	sequencing_plex	dna_source	data_path
110040504	SC1	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1001--bc1001.bam
RG1821	SC2	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1002--bc1002.bam
RG2284	SC3	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1003--bc1003.bam
CE0005797	SC4	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1004--bc1004.bam
110040975	SC5	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1005--bc1005.bam
RG2155	SC6	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1006--bc1006.bam
110046617	SC7	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1007--bc1007.bam
CE0005988	SC8	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1008--bc1008.bam
RG2378	SC9	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1009--bc1009.bam
RG2331	SC10	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1010--bc1010.bam
RG2037	SC11	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1011--bc1011.bam
110042713	SC12	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1012--bc1012.bam
CE0005786	SC13	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1013--bc1013.bam
110046119	SC14	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1014--bc1014.bam
RG1823	SC15	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1015--bc1015.bam
RG2459	SC16	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1016--bc1016.bam
RG1288	SC18	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1018--bc1018.bam
RG2379	SC19	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1019--bc1019.bam
CE0005924	SC20	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1020--bc1020.bam
RG1895	SC21	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1021--bc1021.bam
RG1849	SC22	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1022--bc1022.bam
RG2226	SC23	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1023--bc1023.bam
RG1889	SC24	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1024--bc1024.bam
RG1791	SC25	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1025--bc1025.bam
RG1212	SC26	V3	2021-01-01	25	PBMC	/home/o0rodr03/projects/StemCell/data/2021-01-01/demultiplex.bc1026--bc1026.bam
